0087,Swire Pacific Limited 'B',http://www.swirepacific.com
0088,Tai Cheung Holdings Limited,http://www.taicheung.com
0089,Tai Sang Land Development Limited,http://www.irasia.com/listco/hk/taisangland/index.htm
0090,Amber Energy Limited,http://www.amberenergy.com.hk
0091,International Standard Resources Holdings Limited,http://www.intl-standardresources.com
0092,Champion Technology Holdings Limited,http://www.championtechnology.com
0093,Termbray Industries International (Holdings) Limited,http://www.termbray.com.hk
0094,Greenheart Group Limited,http://www.greenheartgroup.com
0095,LVGEM (China) Real Estate Investment Company Limited,http://lvgem-china.com
0096,Yusei Holdings Limited,http://www.yusei.cn
0097,Henderson Investment Limited,http://www.hilhk.com
0098,Xingfa Aluminium Holdings Limited,http://www.xingfa.com
0099,Wong's International Holdings Limited,http://www.wih.com.hk
0100,Clear Media Limited,http://www.irasia.com/listco/hk/clearmedia
0101,Hang Lung Properties Limited,http://www.hanglung.com
0102,Summit Ascent Holdings Limited,http://www.saholdings.com.hk
0103,Shougang Concord Century Holdings Limited,http://www.irasia.com/listco/hk/sccentury/
0104,Asia Commercial Holdings Limited,http://www.asiacommercialholdings.com
0105,Associated International Hotels Limited,http://aihl.etnet.com.hk/ca-calendar-e.html
0106,Landsea Green Properties Co. Ltd.,http://www.landsea.hk
0107,Sichuan Expressway Company Limited,http://www.cygs.com
0108,GR Properties Limited,http://www.grproperties.com.hk
0109,Good Resources Holdings Limited,http://www.hkex109.hk
0110,China Fortune Holdings Limited,http://www.fortunetele.com
0111,Cinda International Holdings Limited,http://www.cinda.com.hk
0112,LT Commercial Real Estate Limited,http://www.lth.com.hk
0113,Dickson Concepts (International) Limited,http://www.dickson.com.hk
0114,Herald Holdings Limited,http://www.heraldgroup.com.hk
0115,Grand Field Group Holdings Limited,http://www.gfghl.com
0116,Chow Sang Sang Holdings International Limited,http://www.chowsangsang.com/group/eng/index.htm
0117,Tianli Holdings Group Limited,http://www.tlhg.com.hk
0118,Cosmos Machinery Enterprises Limited,http://www.cosmel.com
0119,Poly Property Group Co. Limited,http://www.polyhongkong.com
0120,Cosmopolitan International Holdings Limited,http://www.cosmoholdings.com
0121,C.P. Lotus Corporation,http://www.irasia.com/listco/hk/cplotus
0122,Crocodile Garments Limited,http://www.crocodile.com.hk
0123,Yuexiu Property Company Limited,http://www.yuexiuproperty.com
0124,Guangdong Land Holdings Limited,http://www.gdland.com.hk
0125,Sun Hing Vision Group Holdings Limited,http://www.sunhingoptical.com
0126,Carrianna Group Holdings Company Limited,http://www.carrianna.com
0127,Chinese Estates Holdings Limited,http://www.chineseestates.com
0128,ENM Holdings Limited,http://www.enmholdings.com
0129,Asia Standard International Group Limited,http://www.asiastandard.com
0130,Moiselle International Holdings Limited,http://moiselle-umb.chinacloudsites.cn
0131,Cheuk Nang (Holdings) Limited,http://www.cheuknang.com.hk
0132,China Investments Holdings Limited,http://chinainvestments.quamir.com
0133,China Merchants China Direct Investments Limited,http://www.cmcdi.com.hk
0135,Kunlun Energy Company Limited,http://www.kunlun.com.hk
0136,HengTen Networks Group Limited,http://www.htmimi.com
0137,Jinhui Holdings Company Limited,http://www.jinhuiship.com
0138,CCT Fortis Holdings Limited,http://www.cct-fortis.com/eng/investor/announcements.php
0139,China Soft Power Technology Holdings Limited,http://www.cspthl.com
0141,Great China Holdings Limited,http://www.greatchina-holdings.com
0142,First Pacific Company Limited,http://www.firstpacific.com
0143,Global Tech (Holdings) Limited,http://www.iglobaltech.com
